Run Order,Distance,Flow-rate,Voltage,Score Global,Classe
1,10,0.5,15,50.14,3
2,10,0.5,18,31.78,2
3,10,0.5,20,19.89,1
4,10,0.7,15,76.65,4
5,10,0.7,18,36.47,2
6,10,0.7,20,28.97,1
7,10,1.0,15,139.0,4
8,10,1.0,18,33.66,2
9,10,1.0,20,31.78,2
10,12,0.5,15,46.62,3
11,12,0.5,18,40.12,2
12,12,0.5,20,33.67,2
13,12,0.7,15,36.93,2
14,12,0.7,18,27.84,1
15,12,0.7,20,36.81,2
16,12,1.0,15,92.76,4
17,12,1.0,18,159.6,4
18,12,1.0,20,157.88,4
19,14,0.5,15,53.42,3
20,14,0.5,18,76.96,4
21,14,0.5,20,40.97,2
22,14,0.7,15,38.45,2
23,14,0.7,18,35.68,2
24,14,0.7,20,33.43,2
25,14,1.0,15,55.45,3
26,14,1.0,18,189.5,4
27,14,1.0,20,57.84,3
